skill	should_trigger	near_miss	required_outcome	forbidden_outcome
adr-auditor	Проведи аудит ADR на drift и качество	Зафиксируй новое решение	Диагноз drift/immutability/chains и только operator-history candidates для решений без ADR	Автоматическое объявление DB/framework выбора missing ADR или придумывание rationale
adr-writer	Зафиксируй в ADR принятое мной решение с альтернативами и обоснованием	Опиши реализованную фичу без операторского выбора	Operator-decision/significance gate и компактный immutable ADR	ADR из формы кода, percent-progress или выдуманные альтернативы
contract-auditor	Проведи строгий read-only review реализации по living contracts	Обнови сам living contract	Frozen target, traceability, evidence и bounded verdict	Изменение кода/контрактов или audit-fix-audit цикл
contract-writer	Зафиксируй неочевидную стабильную ответственность модуля, уже подтверждённую кодом и решением	Запиши временный implementation plan	Update suitable owner; new contract only for established consequential lasting obligation insufficiently expressed and lacking owner	Normative accidental behavior, contract per feature, or duplicate existing API/schema/docs owner
contract-writer	Контракт отсутствует, а два модуля одинаково правдоподобно могут владеть обязанностью	Отдельного Markdown нет, но нормативная API/schema/docs уже владеет правилом	Остановиться только на material ownership fork	Автоматически выбрать канонического владельца
design-system-extractor	Вытащи существующую дизайн-систему из продукта	Придумай новую визуальную систему	DESIGN.md из наблюдаемого evidence	Изобретённые токены без источника
docs-cleanup	Проведи широкий аудит Issues ADR briefs и runbooks	Проверь только ADR на drift	Read-only audit by default; on explicit apply, delete only evidence-safe tracked clean committed paths and gate unrecoverable/ADR history	Mutation from audit-only intent, broad/glob deletion, or unrecoverable delete without exact-path checkpoint
feature-brief	Большая неоднозначная фича: исследуй repo и проведи briefing с доступным structured planning	Сделай обычный implementation plan для понятной небольшой задачи	Resolve material forks from repository evidence; reuse task.md when written memory helps; no mandatory briefing/file approval	Требование другого приложения, plain-chat анкета, обязательный brief-файл или вопросы о discoverable details
feature-closeout	Заверши небольшую уже реализованную правку через quick closeout	Исправь один конкретный failing test	Compact target review, focused evidence и максимум один clear repair pass	Release verdict, generic swarm или repo-wide cleanup
feature-closeout	Проведи full closeout большой автономно реализованной фичи	Быстро перечисли изменённые файлы	Review current agreed task; select independent vectors by concrete risk/usefulness; bounded repair	Review only builder summary; grade against superseded request; mandatory fan-out solely for size/compaction
feature-closeout	Explicit release closeout без deploy	Обычный full closeout без release intent	Full + project release evidence + one final frozen read-only review	Deploy/push или неявный release mode
figma-css-cleanup	Убери дубли из generated Figma CSS сохранив рендер	Переделай UI и визуальный стиль	Behavior-preserving CSS cleanup	Намеренный visual redesign
find-docs	Реализуй API точной установленной версии framework	Объясни общий алгоритмический принцип	Автоматически получить narrow exact-version primary docs	Угадать API, молча подменить версию или тянуть весь manual
find-skills	Найди skill который умеет делать X	Выполни X уже доступным skill	Список релевантных installable skills	Создание или установка без запроса
issue-writer	Оператор просит записать доказанный отдельный долг вне задачи	Во время реализации найден долг, но запроса на фиксацию нет	Issue по запросу с evidence и resume conditions; полезный TODO только в рамках запроса	Автоматический Issue/TODO только из-за обнаружения долга
issue-writer	Оператор явно просит отложить самостоятельную задачу	Оператор лишь обсуждает возможное улучшение	Issue с evidence, why deferred, resume conditions и verification	Файл на каждую заметку или выдуманный root cause
kaneo-task-workflow	Создай задачу в явно указанном Kaneo project	Создай обычную задачу без Kaneo/repo routing	Verified Kaneo scope and explicit tracker write intent	Inferred tracker или duplicate Markdown mirror
task-journal	Требования, решения или этапы трудно удерживать, включая среднюю задачу	Атомарная правка одного файла	One shared task.md/state.md pair in ignored checkout-local .tmp; brief and closeout reuse; no extra approval for agreed content	Duplicate brief/journal requirements, Git-metadata default path, transcript or records for an atomic change
task-journal	Длинная задача с явной business mission завершила implementation; независимый audit нашёл существенные проблемы, и агент начинает corrective implementation phase	Оператор явно меняет исходную business goal	Current agreed task stays in task.md; corrective progress/evidence in state.md; new requirements require agreement; only affected evidence goes stale	Replace agreed target with audit phase, add unapproved invariants, or restore superseded initial request
tavily-best-practices	Спроектируй production интеграцию Tavily SDK	Найди статью через Tavily	Version-current integration и failure modes	Copied stale SDK signatures
tavily-cli	Через tavily-cli найди страницы и извлеки выбранные	Найди источники и прочитай выбранные при подходящих native tools	Минимальная multi-command orchestration после выбора Tavily по задаче	Vendor selection только из сочетания операций или Research без explicit delegation
tavily-crawl	Скачай раздел документации со многих страниц	Прочитай один известный URL	Bounded multi-page crawl	Неограниченный crawl или single-page misuse
